File path;Total elapsed time (nanoseconds);Average elapsed time (nanoseconds);Occurrences
Z:\cpp-build-analyzer\src\AnalysisData\PCH\PCH.h;1825908072;1825908072;1
Z:\cpp-build-analyzer\src\AnalysisExporter\PCH\PCH.h;1186542078;1186542078;1
C:\Path\To\MSVC\include\xstring;1037776172;259444043;4
C:\Path\To\MSVC\include\string;918008893;229502223;4
C:\Path\To\MSVC\include\istream;902336080;451168040;2
C:\Path\To\MSVC\include\ostream;874622414;437311207;2
C:\Path\To\MSVC\include\xlocnum;863036018;287678672;3
C:\Path\To\MSVC\include\ios;847733913;423866956;2
Z:\cpp-build-analyzer\src\BuildAnalyzer\PCH\PCH.h;779093253;779093253;1
C:\Path\To\MSVC\include\streambuf;743714164;247904721;3
C:\Path\To\MSVC\include\xiosbase;718509659;239503219;3
C:\Path\To\MSVC\include\iostream;654376211;654376211;1
C:\Path\To\WindowsSDK\um\Windows.h;650408847;650408847;1
Z:\cpp-build-analyzer\external_libraries\cxxopts\cxxopts.hpp;592608238;592608238;1
Z:\cpp-build-analyzer\src\BuildAnalyzer\BuildAnalyzer.h;566789989;283394994;2
Z:\cpp-build-analyzer\packages\Microsoft.Cpp.BuildInsights.1.0.0\build\native\inc\CppBuildInsights.hpp;557131443;185710481;3
C:\Path\To\MSVC\include\chrono;508202802;127050700;4
C:\Path\To\MSVC\include\xmemory;500091957;125022989;4
Z:\cpp-build-analyzer\src\AnalysisData\BuildTimeline\BuildTimeline.h;444075512;74012585;6
Z:\cpp-build-analyzer\src\BuildAnalyzer\Analyzers\FunctionCompilations\FunctionCompilationsAnalyzer.h;425914475;141971491;3
C:\Path\To\MSVC\include\unordered_map;378822548;94705637;4
C:\Path\To\MSVC\include\xlocale;358551385;119517128;3
C:\Path\To\MSVC\include\iosfwd;340000753;85000188;4
C:\Path\To\MSVC\include\xhash;335128580;83782145;4
C:\Path\To\MSVC\include\system_error;323273699;107757899;3
