Decorated function name;Undecorated function name;Total elapsed time (nanoseconds);Average elapsed time (nanoseconds);Occurrences
?max_load_factor@?$_Hash@V?$_Umap_traits@_KV?$vector@_KV?$allocator@_K@std@@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@$0A@@std@@@std@@QEBAMXZ;float __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > >,0> >::max_load_factor(void)const __ptr64;34083454;34083454;1
??$construct@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@PEBU12@@?$_Default_allocator_traits@V?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@SAXAEAV?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@1@QEAPEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@$$QEAPEBU34@@Z;??$construct@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@PEBU12@@?$_Default_allocator_traits@V?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@SAXAEAV?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@1@QEAPEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@$$QEAPEBU34@@Z;32311195;32311195;1
?_Compat@?$_Vector_const_iterator@V?$_Vector_val@U?$_Simple_types@K@std@@@std@@@std@@QEBAXAEBV12@@Z;void __cdecl std::_Vector_const_iterator<class std::_Vector_val<struct std::_Simple_types<unsigned long> > >::_Compat(class std::_Vector_const_iterator<class std::_Vector_val<struct std::_Simple_types<unsigned long> > > const & __ptr64)const __ptr64;29610316;29610316;1
??0?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEAVBuildTimelineAnalyzer@@P85@EAAXAEBVFrontEndPass@Activities@234@@Z@Z;??0?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEAVBuildTimelineAnalyzer@@P85@EAAXAEBVFrontEndPass@Activities@234@@Z@Z;28426347;28426347;1
?_Unchecked_erase@?$_Hash@V?$_Umap_traits@_KV?$unordered_map@_KV?$vector@_KV?$allocator@_K@std@@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$unordered_map@_KV?$vector@_KV?$allocator@_K@std@@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@@std@@@2@$0A@@std@@@std@@AEAAPEAU?$_List_node@U?$pair@$$CB_KV?$unordered_map@_KV?$vector@_KV?$allocator@_K@std@@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@@std@@PEAX@2@PEAU32@QEAU32@@Z;struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::unordered_map<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > >,void * __ptr64> * __ptr64 __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::unordered_m;25053841;25053841;1
main;main;24782070;24782070;1
??0?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KU?$pair@KK@std@@@std@@@std@@@std@@QEAA@XZ;__cdecl std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > >::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > >(void) __ptr64;23841955;23841955;1
?allocate@?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@@std@@@std@@@std@@QEAAPEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@@std@@@2@_K@Z;class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessIdThreadIdRecalculation::EntryWithLocalThreadIdOffsetMaxChildOffset> > > > * __ptr64 __cdecl std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessIdThreadIdRecalculation::EntryWithLocalThreadIdOffsetMaxChildOffset> > > > >::allocate(unsigned __int64) __ptr64;19364712;19364712;1
?_Add_rep@?$_Builder@PEBDDV?$regex_traits@D@std@@@std@@QEAAXHH_N@Z;void __cdecl std::_Builder<char const * __ptr64,char,class std::regex_traits<char> >::_Add_rep(int,int,bool) __ptr64;17450820;17450820;1
?ExportTo@BuildTimelineExporter@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;bool __cdecl BuildTimelineExporter::ExportTo(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;17166733;17166733;1
