Decorated function name;Undecorated function name;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
??$_Emplace_reallocate@AEBQEAVTimelineEntry@@@?$vector@PEAVTimelineEntry@@V?$allocator@PEAVTimelineEntry@@@std@@@std@@QEAAPEAPEAVTimelineEntry@@QEAPEAV2@AEBQEAV2@@Z;class TimelineEntry * __ptr64 * __ptr64 __cdecl std::vector<class TimelineEntry * __ptr64,class std::allocator<class TimelineEntry * __ptr64> >::_Emplace_reallocate<class TimelineEntry * __ptr64 const & __ptr64>(class TimelineEntry * __ptr64 * __ptr64 const,class TimelineEntry * __ptr64 const & __ptr64) __ptr64;139687250;1609300;277765200;138077950;2
??0?$GenericDocument@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@VCrtAllocator@2@@rapidjson@@QEAA@W4Type@1@PEAV?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@1@_KPEAVCrtAllocator@1@@Z;__cdecl rapidjson::GenericDocument<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator>,class rapidjson::CrtAllocator>::GenericDocument<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator>,class rapidjson::CrtAllocator>(enum rapidjson::Type,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> * __ptr64,unsigned __int64,class rapidjson::CrtAllocator * __ptr64) __ptr64;110817000;110817000;110817000;0;1
?ExportTo@FileInclusionTimesExporter@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;bool __cdecl FileInclusionTimesExporter::ExportTo(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;85890100;85890100;85890100;0;1
?_Get_first@?$_Compressed_pair@V?$allocator@_W@std@@V?$_String_val@U?$_Simple_types@_W@std@@@2@$00@std@@QEAAAEAV?$allocator@_W@2@XZ;class std::allocator<wchar_t> & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<wchar_t>,class std::_String_val<struct std::_Simple_types<wchar_t> >,1>::_Get_first(void) __ptr64;83478900;83478900;83478900;0;1
?do_max_length@?$codecvt_utf8@_W$0BAPPPP@$0A@@std@@MEBAHXZ;virtual int __cdecl std::codecvt_utf8<wchar_t,1114111,0>::do_max_length(void)const __ptr64;72220900;72220900;72220900;0;1
??$?0AEBV?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@$$V@?$_Compressed_pair@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@V?$_Vector_val@U?$_Simple_types@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@@2@$00@std@@QEAA@U_One_then_variadic_args_t@1@AEBV?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@1@@Z;??$?0AEBV?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@$$V@?$_Compressed_pair@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_;61669000;61669000;61669000;0;1
?ExportTo@FileInclusionGraphExporter@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;bool __cdecl FileInclusionGraphExporter::ExportTo(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;59931400;59931400;59931400;0;1
?ScanWriteUnescapedString@?$Writer@V?$BasicOStreamWrapper@V?$basic_ostream@DU?$char_traits@D@std@@@std@@@rapidjson@@U?$UTF8@D@2@U32@VCrtAllocator@2@$0A@@rapidjson@@IEAA_NAEAU?$GenericStringStream@U?$UTF8@D@rapidjson@@@2@_K@Z;bool __cdecl rapidjson::Writer<class rapidjson::BasicOStreamWrapper<class std::basic_ostream<char,struct std::char_traits<char> > >,struct rapidjson::UTF8<char>,struct rapidjson::UTF8<char>,class rapidjson::CrtAllocator,0>::ScanWriteUnescapedString(struct rapidjson::GenericStringStream<struct rapidjson::UTF8<char> > & __ptr64,unsigned __int64) __ptr64;57326000;57326000;57326000;0;1
?Peek@?$GenericStringStream@U?$UTF8@D@rapidjson@@@rapidjson@@QEBADXZ;char __cdecl rapidjson::GenericStringStream<struct rapidjson::UTF8<char> >::Peek(void)const __ptr64;56475700;56475700;56475700;0;1
?dtoa@internal@rapidjson@@YAPEADNPEADH@Z;char * __ptr64 __cdecl rapidjson::internal::dtoa(double,char * __ptr64,int);54181800;54181800;54181800;0;1
