Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
class std::map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct cxxopts::HelpGroupDetails,struct std::less<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails> > > ;class std::map ;249208500;249208500;249208500;0;1
class std::_Tree<class std::_Tmap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct cxxopts::HelpGroupDetails,struct std::less<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails> >,0> > ;class std::_Tree ;247446000;247446000;247446000;0;1
class Microsoft::Cpp::BuildInsights::StaticAnalyzerGroup<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> > __cdecl Microsoft::Cpp::BuildInsights::MakeStaticAnalyzerGroup<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >*>(class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > *);auto __cdecl Microsoft::Cpp::BuildInsights::MakeStaticAnalyzerGroup(TAnalyzerPtrs...);120550300;120550300;120550300;0;1
class Microsoft::Cpp::BuildInsights::StaticAnalyzerGroup<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> > __cdecl Microsoft::Cpp::BuildInsights::Internal::MakeStaticAnalyzerGroupImpl::Run<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >*>(class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > *);auto __cdecl Microsoft::Cpp::BuildInsights::Internal::MakeStaticAnalyzerGroupImpl::Run(TAnalyzerPtrs...);120001400;120001400;120001400;0;1
class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> > ;class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl ;112683600;112683600;112683600;0;1
class std::vector<struct `anonymous namespace'::DataPerFile,class std::allocator<struct `anonymous namespace'::DataPerFile> > ;class std::vector ;52583100;52583100;52583100;0;1
class std::unordered_map<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > > ;class std::unordered_map ;45465733;14043000;70525400;22354994;6
class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > ;class std::vector ;44004200;44004200;44004200;0;1
class std::_Hash<class std::_Umap_traits<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> >,0> > ;class std::_Hash ;40018366;12055600;62390200;20018085;6
class std::_Compressed_pair<class std::allocator<struct `anonymous namespace'::DataPerFile>,class std::_Vector_val<struct std::_Simple_types<struct `anonymous namespace'::DataPerFile> >,1> ;class std::_Compressed_pair ;38842400;38842400;38842400;0;1
class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::Activities::Activity> > ;class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl ;38833400;38833400;38833400;0;1
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > > > ;class std::unordered_map ;38720283;13854300;52387000;13115590;6
class std::_Compressed_pair<class std::allocator<unsigned __int64>,class std::_Vector_val<struct std::_Simple_types<unsigned __int64> >,1> ;class std::_Compressed_pair ;35103900;35103900;35103900;0;1
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > >,0> > ;class std::_Hash ;33214900;11677300;45010000;11440880;6
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;class std::unordered_map ;32682871;14380900;54250600;13179261;7
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct `anonymous namespace'::DataPerTemplate,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > > ;class std::unordered_map ;32302500;32302500;32302500;0;1
class std::unordered_map<unsigned __int64,struct ProcessThreadRemap,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > ;class std::unordered_map ;31226600;16869800;50369700;11012051;6
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct FileCompilationData,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > ;class std::unordered_map ;30652725;13795400;44298700;11736815;4
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > ;class std::unordered_map ;30466250;14012300;43402500;11027036;4
class std::unordered_map<unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;class std::unordered_map ;28589660;13534400;50040300;13422548;5
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,0> > ;class std::_Hash ;28012085;12089400;47639200;11649847;7
